X, Y
262903,64687
263820,66071
266044,66488
268371,65819
275862,67586
283342,69604
290605,71315
295644,72225
299795,72382
302699,72654
304599,73180
305850,73067
305029,75111
302893,77915
301317,79317
299909,80326
299613,80570
298509,81176
297420,82103
295924,82295
295226,82522
294462,82776
292938,82552
292603,82322
292407,81886
291690,81742
291255,81305
291239,80604
291295,79803
291199,79376
291400,78867
291474,78307
291824,77502
292050,76950
292262,75762
292364,74261
292759,73998
292289,73631
290415,74541
289244,75241
288353,76454
287331,77439
286764,78282
286876,78200
287047,78847
287811,79902
287828,82405
287700,85404
286769,90319
285727,96495
284819,101825
285975,106924
285879,110926
285678,114338
284734,115508
284057,115714
284511,115550
285035,115459
285450,114686
285786,114289
285734,114023
285684,113731
285358,113372
285205,113072
285014,113003
284655,113012
284116,112831
283887,112654
284412,110665
284886,108108
285353,104719
285110,101997
285378,97795
285617,95677
286125,94582
286234,93354
286248,90426
285829,88837
285649,88438
285895,87858
285963,87763
285921,87606
285653,87514
285424,86599
283699,85002
282720,84023
280460,82257
279520,82010
279288,82427
279588,84237
281004,93185
283866,99181
283919,102072
283606,104551
283308,107223
282472,108412
281923,108148
281409,107764
281358,107613
281609,107385
281736,107132
281683,106959
281944,106672
282334,106178
282734,104572
283889,103451
285150,103156
224872,135997
265402,112384
271648,104780
279360,92427
288571,81205
294395,71309
296210,65372
287482,64315
279739,73230
273852,79988
270023,86140
266916,90775
268599,90941
273600,84790
276232,81587
279404,76577
283078,72773
286196,70519
288722,68309
291095,66499
292175,64565
293012,63377
286988,73973
282883,82863
281478,89383
282175,90241
281993,91224
282129,90369
281958,91115
281917,92237
282189,93076
282751,92556
282941,91771
282652,91486
282643,90946
282713,88753
282679,84742
283661,81855
284982,78806
285127,76289
285572,73787
285658,71968
286001,70621
286241,70257
286513,69815
287237,69845
287155,69752
287276,70169
287222,72573
287742,78367
288701,84488
289922,88836
288933,91965
288703,94764
289151,96741
289923,98069
290721,99104
290700,99459
290571,99322
290439,99531
290267,99690
289413,99900
288853,100144
288620,100353
288553,100628
288363,100883
287957,101086
287780,101252
287325,101442
286946,101698
286528,102008
285923,102232
285573,101961
284841,102126
283997,102336
284117,102329
284011,102031
283730,101439
283889,100447
283877,99104
284008,99018
284536,98591
285125,97600
283614,97960
282167,98202
280966,98640
279901,98864
279343,98570
279633,98384
279502,98301
279441,98428
279359,98325
279109,98284
278713,98326
278335,98250
278202,98078
278391,97981
278300,98074
277855,98029
277246,97879
276274,97473
275195,97207
274304,97084
273844,96885
273431,96893
272954,96845
272573,96332
272396,95825
270769,95119
268653,94152
265843,93526
263967,93704
262300,93742
260928,93633
259958,93305
258882,93225
258177,92604
257494,92573
257085,93032
256730,93160
256790,93273
256936,93190
257022,93027
257190,92824
257270,92308
257411,91874
257091,91379
258390,90771
259156,88966
259702,87067
260239,85966
260955,85307
261957,84448
262703,84284
263342,83928
263860,83584
264682,83136
266606,85186
267756,86934
271170,87763
274236,89102
275761,91102
276791,92491
277915,93692
278469,94612
279279,95379
279263,95454
278041,95684
277590,95968
277596,96286
277260,96045
276796,96236
276034,96216
275105,96338
274038,96807
273990,97242
272568,97612
270759,98024
268959,97515
266888,97095
265679,97253
264413,97182
263028,96600
262235,96035
261418,95461
261024,95034
260609,94437
260339,94178
260163,94158
259859,94358
259451,94670
259070,94858
258678,94858
258148,94849
257601,94769
257494,94683
257428,94656
257519,94677
257462,94794
257729,94535
258086,94232
258485,94017
258876,93613
259069,93358
259101,93123
259206,93022
259100,93117
258954,93038
258877,92961
259064,93057
259161,93166
259369,93307
259623,93407
259874,93462
260049,93498
260296,93468
260677,93274
261068,92998
261317,92851
261545,92650
261443,92343
261449,92120
261565,91815
261724,91546
261909,91294
262363,91169
263223,91307
265030,91294
266890,91348
269121,91335
271735,91130
274384,90985
276426,90642
278063,90202
278570,90360
278647,91107
278561,91728
278879,92206
279073,92725
279259,93302
279378,93749
279635,93920
279928,94133
280322,94600
280525,95259
280655,95673
280921,95889
281312,96463
281692,97291
281947,97497
281943,97809
281953,97723
281920,97629
281973,97568
281899,97468
281903,97385
281841,97512
281958,97703
282071,97894
282197,97931
281511,98160
278945,97746
275238,97128
270528,97060
266018,97037
262779,96473
261170,96305
259223,96185
257361,96226
256295,96062
255815,96413
255453,96495
255256,96727
255353,96975
255614,96970
255543,97009
255464,97186
255567,97052
255544,96891
255649,96308
255542,95991
255478,95510
255233,95342
254806,95288
256676,95301
258774,95262
261932,95918
264920,96620
267698,97721
269960,98845
271781,100068
273578,101052
274792,101627
275723,102484
276412,103238
277231,103277
277541,103109
278222,102865
278964,102691
279908,102582
281116,102129
282294,101647
283665,100493
284797,99295
285186,97998
284935,97666
284686,97485
285372,97120
285740,96626
286022,95864
286118,95193
286145,94270
285852,93712
285349,92713
285466,91003
285151,89545
284630,88178
283913,87077
283516,86506
282775,85579
282362,85093
282046,84678
281883,84535
281715,84704
281767,84692
282015,84501
282213,84303
282335,83861
282429,83396
282464,83236
282442,83014
282526,82947
282464,82442
282121,82169
281838,81891
281664,81188
281654,80238
281600,79326
281489,78628
281301,78107
280968,77654
280748,77052
280809,76579
277866,75280
273311,73345
271409,71818
270272,71511
268808,73510
268238,102758
260341,135751
